x0000,y0000
3.4413765506,-2.0217799907
3.4453781513,-5.2091164262
3.4493797519,-3.380826792
3.4533813525,8.6018279818
3.4573829532,-4.8805798337
3.4613845538,-1.9014952500
3.4653861545,-8.9996390746
3.4693877551,-11.7740866775
3.4733893557,-2.10457982
3.4773909564,-13.0680611332
3.4813925570,-10.9489055237
3.4853941577,-10.8655354843
3.4893957583,-8.0847619508
3.4933973589,-13.2951195936
3.4973989596,-21.4556571320
3.5014005602,-14.3926320979
3.5054021609,-10.2281942005
3.5094037615,-13.5821566686
3.5134053621,-13.207409164
3.5174069628,-15.640088332
3.5214085634,-6.3893671596
3.5254101641,-4.0132844492
3.5294117647,-7.5710349602
3.5334133653,3.5888554519
3.537414966,2.4060700272
3.5414165666,-1.4038749065
3.5454181673,-0.9335294815
3.5494197679,3.4498397910
3.5534213685,-0.0946740489
3.5574229692,-11.5926236734
3.5614245698,-6.6276796256
3.5654261705,-6.3914462943
3.5694277711,-16.4139479048
3.5734293717,-8.8274618865
3.5774309724,-13.2880827705
3.5814325730,-7.1185024621
3.5854341737,-12.8626625633
3.5894357743,-12.9891474346
3.5934373749,-14.1536635154
3.5974389756,-10.0774926624
3.6014405762,-7.6090104816
3.6054421769,-4.5559310974
3.6094437775,-0.3568027191
3.6134453782,6.260510596
3.6174469788,7.2023575404
3.6214485794,9.5800627649
3.6254501801,4.8724522736
3.6294517807,1.5715500751
3.6334533814,1.6138597114
3.637454982,3.0471609789
3.6414565826,9.6302621084
3.6454581833,6.1385586404
3.6494597839,-4.6027824767
3.6534613846,-9.8626342083
3.6574629852,-13.3476956562
3.6614645858,2.4704561084
3.6654661865,-0.5850999591
3.6694677871,-6.4547999525
3.6734693878,0.4373475121
3.6774709884,-6.2174703459
3.6814725890,-3.2561649979
3.6854741897,-2.2194489107
3.6894757903,-0.4171283151
3.693477391,13.7332259966
3.6974789916,11.9050195354
3.7014805922,13.7564365873
3.7054821929,7.8171336357
3.7094837935,17.0663334365
3.7134853942,21.2317938949
3.7174869948,9.8551537325
3.7214885954,12.8771788491
3.7254901961,8.5994274009
3.7294917967,0.6472405995
3.7334933974,-3.0713695855
3.737494998,-4.0885210182
3.7414965986,4.167718375
3.7454981993,3.3049132936
3.7494997999,4.9986141528
3.7535014006,13.6617901277
3.7575030012,6.2453765794
3.7615046018,10.3896426546
3.7655062025,9.4240320035
3.7695078031,10.9686314505
3.7735094038,19.2757671443
3.7775110044,19.4982464175
3.7815126050,8.7516328665
3.7855142057,8.4166229114
3.7895158063,14.6418675313
3.793517407,22.5280806813
3.7975190076,12.8161535905
3.8015206082,18.4855424171
3.8055222089,18.0915976359
3.8095238095,4.6586733308
3.8135254102,-7.0292840385
3.8175270108,-11.8801835035
3.8215286114,-7.9404850743
3.8255302121,-2.9724435711
3.8295318127,-7.1534755876
3.8335334134,-6.8555997363
3.8375350140,2.8790539569
3.8415366146,18.7492103772
3.8455382153,1.5567823872
3.8495398159,1.3010197383
3.8535414166,11.5875249493
3.8575430172,3.5634616553
3.8615446178,8.4869562294
3.8655462185,14.8216930659
3.8695478191,17.6081421854
